活动区域,子区域,日期,时段,客流量,age（0-25）,age（26-44）,age（45-60+）,首次到访占比,男性客流量,女性客流量,驻留时长1,驻留时长2,驻留时长3,驻留时长4,是否活动时间
 无锡映月湖     ,映月湖中央公园,20240424,18,5413,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240424,21,3500,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240424,3,472,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240424,7,5598,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240425,0,967,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240425,11,3409,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240425,15,3596,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240425,19,4632,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240425,22,2073,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240425,4,347,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240425,8,4418,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240426,1,437,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240426,12,3904,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240426,16,5850,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240426,23,2078,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240426,5,812,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240426,9,3812,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240427,13,4770,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240427,17,5672,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240427,2,467,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240427,20,5003,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240427,6,1888,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240428,10,3360,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240428,14,3471,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240428,18,5403,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240428,21,3156,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240428,3,532,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240428,7,5421,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240429,0,879,,,,,,,,,,,0
